Id,Name,Type,Rarity,Introduction,skillGemParam ID
274,Hornetaur Carapace,Material,rare6,Rare Hornetaur material. Obtained by carving. Used for many purposes.,
275,Hornetaur Innerwing,Material,rare6,"Rare Hornetaur material. Obtained by carving. Light and sharp, used in many weapons.",
276,Gajau Skin,Material,rare4,"Gajau material. Obtained by carving. Water- resistant, used to craft gear.",
277,Gajau Whisker,Material,rare4,"Gajau material. Obtained by carving. Hardy, used to craft gear.",
278,Gajau Scale,Material,rare6,"Rare Gajau material. Obtained by carving. Water- resistant, used to craft gear.",
279,Grand Gajau Whisker,Material,rare6,"Rare Gajau material. Obtained by carving. Hardy, used to craft gear.",
280,Wingdrake Hide,Material,rare4,A material carved from wingdrakes. Lightweight and often used when crafting armor.,
281,Wingdrake Hide+,Material,rare6,A rare material carved from wingdrakes. Lightweight and often used when crafting armor.,
282,Barnos Hide+,Material,rare6,"Rare Barnos material. Obtained by carving. Supple, used to craft gear.",
283,Barnos Talon,Material,rare6,"Rare Barnos material. Obtained by carving. Unusual, used in select gear.",
284,Kestodon Shell,Material,rare4,"Kestodon material. Obtained by carving. Sturdy, used to craft gear.",
285,Kestodon Scalp,Material,rare4,"Kestodon material. Obtained by carving. Unusual, used in select gear.",
286,Kestodon Carapace,Material,rare6,"Superior Kestodon material. Obtained by carving. Sturdy, used to craft gear.",
287,Gastodon Carapace,Material,rare6,"Rare Gastodon material. Obtained by carving. Sturdy, used to craft gear.",
288,Gastodon Horn,Material,rare6,"Rare Gastodon material. Obtained by carving. Unusual, used in select gear.",
289,Jagras Scale,Material,rare4,Jagras material. Obtained by carving. Used for many purposes.,
290,Jagras Hide,Material,rare4,"Jagras material. Obtained by carving. Supple, used to craft gear.",
291,Jagras Scale+,Material,rare6,Rare Jagras material. Obtained by carving. Used for many purposes.,
292,Jagras Hide+,Material,rare6,"Rare Jagras material. Obtained by carving. Supple, used to craft gear.",
293,Shamos Scale,Material,rare4,Shamos material. Obtained by carving. Used for many purposes.,
294,Shamos Hide,Material,rare4,"Shamos material. Obtained by carving. Supple, used to craft gear.",
295,Shamos Scale+,Material,rare6,Rare Shamos material. Obtained by carving. Used for many purposes.,
296,Shamos Hide+,Material,rare6,"Rare Shamos material. Obtained by carving. Supple, used to craft gear.",
297,Girros Scale,Material,rare4,Girros material. Obtained by carving. Used for many purposes.,
298,Girros Hide,Material,rare4,"Girros material. Obtained by carving. Supple, used to craft gear.",
299,Girros Fang,Material,rare4,Girros material. Obtained by carving. Grants paralytic properties.,
300,Girros Scale+,Material,rare6,Rare Girros material. Obtained by carving. Used for many purposes.,
301,Girros Hide+,Material,rare6,"Rare Girros material. Obtained by carving. Supple, used to craft gear.",
302,Great Jagras Scale,Material,rare4,Great Jagras material. Mostly obtained by carving. Broadly used for many purposes.,
303,Great Jagras Hide,Material,rare4,Great Jagras material. Mostly obtained as a reward. Broadly used for many purposes.,
304,Great Jagras Mane,Material,rare4,Great Jagras material. Obtained by breaking its head. Used for many purposes.,
305,Great Jagras Claw,Material,rare4,"Great Jagras material. Obtained by breaking its forelegs. Sharp, used in many weapons.",
306,Great Jagras Scale+,Material,rare6,Rare Great Jagras material. Mostly obtained by carving. Broadly used for many purposes.,
307,Great Jagras Hide+,Material,rare6,"Rare Great Jagras material. Mostly obtained as a reward. Supple, used to craft gear.",
308,Great Jagras Claw+,Material,rare6,"Rare Great Jagras material. Obtained by breaking its forelegs. Sharp, used in many weapons.",
309,Kulu-Ya-Ku Scale,Material,rare4,Kulu-Ya-Ku material. Mostly obtained as a reward. Broadly used for many purposes.,
310,Kulu-Ya-Ku Hide,Material,rare4,"Kulu-Ya-Ku material. Mostly obtained by carving. Supple, often used in gear.",
311,Kulu-Ya-Ku Plume,Material,rare4,Kulu-Ya-Ku material. Obtained by breaking its forelimbs. Used for many purposes.,
312,Kulu-Ya-Ku Beak,Material,rare4,"Kulu-Ya-Ku material. Obtained by breaking its head. Hard, used in many weapons.",
313,Kulu-Ya-Ku Scale+,Material,rare6,Rare Kulu-Ya-Ku material. Mostly obtained by carving. Broadly used for many purposes.,
314,Kulu-Ya-Ku Hide+,Material,rare6,"Rare Kulu-Ya-Ku material. Mostly obtained as a reward. Supple, often used in gear.",
315,Kulu-Ya-Ku Plume+,Material,rare6,Rare Kulu-Ya-Ku material. Obtained by breaking its forelimbs. Used for many purposes.,
316,Kulu-Ya-Ku Beak+,Material,rare6,"Rare Kulu-Ya-Ku material. Obtained by breaking its head. Hard, used in many weapons.",
317,Pukei-Pukei Scale,Material,rare4,Pukei-Pukei material. Mostly obtained by carving. Broadly used for many purposes.,
318,Pukei-Pukei Shell,Material,rare4,"Pukei-Pukei material. Mostly obtained as a reward. Solid, used to craft gear.",
319,Pukei-Pukei Quill,Material,rare4,Pukei-Pukei material. Obtained by breaking its wings. Used for many purposes.,
320,Pukei-Pukei Sac,Material,rare4,Pukei-Pukei material. Obtained by breaking its head. Grants poisonous properties.,
321,Pukei-Pukei Tail,Material,rare4,"Rare Pukei-Pukei material. Obtained by carving its severed tail. Unusual, used to craft gear.",
322,Pukei-Pukei Scale+,Material,rare6,Rare Pukei-Pukei material. Mostly obtained by carving. Broadly used for many purposes.,
323,Pukei-Pukei Carapace,Material,rare6,"Rare Pukei-Pukei material. Mostly obtained as a reward. Solid, used to craft gear.",
324,Pukei-Pukei Wing,Material,rare6,Rare Pukei-Pukei material. Obtained by breaking its wings. Used for many purposes.,
325,Pukei-Pukei Sac+,Material,rare6,Rare Pukei-Pukei material. Obtained by breaking its head. Grants poisonous properties.,
326,Barroth Shell,Material,rare4,Barroth material. Mostly obtained by carving. Broadly used for many purposes.,
327,Barroth Ridge,Material,rare4,"Barroth material. Mostly obtained as a reward. Solid, used to craft gear.",
328,Barroth Claw,Material,rare4,"Barroth material. Obtained by breaking its forelimbs. Hardy, used in many weapons.",
329,Barroth Scalp,Material,rare4,"Barroth material. Obtained by breaking its scalp. Tough, used in many weapons.",
330,Barroth Tail,Material,rare4,"Barroth material. Obtained by carving its severed tail. Stiff, used to craft gear.",
331,Fertile Mud,Material,rare4,"Barroth material. Obtained by breaking its mud covering. Unusual, used in select gear.",
332,Barroth Carapace,Material,rare6,Rare Barroth material. Mostly obtained by carving. Broadly used for many purposes.,
333,Barroth Ridge+,Material,rare6,"Rare Barroth material. Mostly obtained as a reward. Solid, used to craft gear.",
334,Barroth Claw+,Material,rare6,"Rare Barroth material. Obtained by breaking its forelimbs. Hardy, used in many weapons.",
335,Jyuratodus Scale,Material,rare4,Jyuratodus material. Mostly obtained by carving. Used for many purposes.,
336,Jyuratodus Shell,Material,rare4,"Jyuratodus material. Mostly obtained as a reward. Hardy, used to craft gear.",
337,Jyuratodus Fang,Material,rare4,"Jyuratodus material. Obtained by breaking its head. Sharp, used in many weapons.",
338,Jyuratodus Fin,Material,rare4,Jyuratodus material. Obtained by breaking its back. Used for many purposes.,
339,Jyuratodus Scale+,Material,rare6,Rare Jyuratodus material. Mostly obtained by carving. Used for many purposes.,
340,Jyuratodus Carapace,Material,rare6,"Rare Jyuratodus material. Mostly obtained as a reward. Hardy, used to craft gear.",
341,Jyuratodus Fang+,Material,rare6,"Rare Jyuratodus material. Obtained by breaking its head. Sharp, used in many weapons.",
342,Jyuratodus Fin+,Material,rare6,Rare Jyuratodus material. Obtained by breaking its back. Used for many purposes.,
343,Tobi-Kadachi Scale,Material,rare4,Tobi-Kadachi material. Mostly obtained by carving. Broadly used for many purposes.,
344,Tobi-Kadachi Pelt,Material,rare4,"Tobi-Kadachi material. Mostly obtained as a reward. Highly thunder-resistant, used to craft gear.",
345,Tobi-Kadachi Membrane,Material,rare4,"Tobi-Kadachi material. Mostly obtained by carving. Supple, used to craft gear.",
346,Tobi-Kadachi Claw,Material,rare4,"Tobi-Kadachi material. Obtained by breaking its forelimbs. Sharp, used in many weapons.",
347,Tobi-Kadachi Electrode,Material,rare4,Tobi-Kadachi material. Obtained by breaking its head. Grants thunder element properties.,
348,Tobi-Kadachi Scale+,Material,rare6,Rare Tobi-Kadachi material. Mostly obtained by carving. Broadly used for many purposes.,
349,Tobi-Kadachi Pelt+,Material,rare6,"Rare Tobi-Kadachi material. Mostly obtained as a reward. Highly thunder-resistant, used to craft gear.",
350,Tobi-Kadachi Claw+,Material,rare6,"Rare Tobi-Kadachi material. Obtained by breaking its forelimbs. Sharp, used in many weapons.",
351,Tobi-Kadachi Electrode+,Material,rare6,Rare Tobi-Kadachi material. Obtained by breaking its head. Grants thunder element properties.,
352,Anjanath Scale,Material,rare4,Anjanath material. Mostly obtained by carving. Broadly used for many purposes.,
353,Anjanath Pelt,Material,rare4,"Anjanath material. Mostly obtained as a reward. Highly heat-resistant, used to craft gear.",
354,Anjanath Fang,Material,rare4,"Anjanath material. Obtained by breaking its head. Sharp, used in many weapons.",
355,Anjanath Nosebone,Material,rare4,Anjanath material. Obtained by breaking its head. Unusual and difficult to handle.,
356,Anjanath Tail,Material,rare4,"Anjanath material. Obtained by carving its severed tail. Stiff, used to craft gear.",
357,Anjanath Plate,Material,rare5,"Anjanath material. A valuable find, used to fortify gear. Said to be quite hard to come by.",
358,Anjanath Scale+,Material,rare6,Rare Anjanath material. Mostly obtained by carving. Broadly used for many purposes.,
359,Anjanath Pelt+,Material,rare6,"Rare Anjanath material. Mostly obtained as a reward. Highly heat-resistant, used to craft gear.",
360,Anjanath Fang+,Material,rare6,"Rare Anjanath material. Obtained by breaking its head. Sharp, used in many weapons.",
361,Anjanath Nosebone+,Material,rare6,"Rare Anjanath material. Obtained by breaking its head. Unusual, used in select gear.",
362,Anjanath Gem,Material,rare7,A rare gem said to have formed within Anjanath tissue. Used to dramatically improve gear.,
363,Rathian Scale,Material,rare4,Rathian material. Mostly obtained by carving. Broadly used for many purposes.,
364,Rathian Shell,Material,rare4,"Rathian material. Mostly obtained as a reward. Solid, used to craft gear.",
365,Rathian Webbing,Material,rare4,"Rathian material. Obtained by breaking its wings. Supple, used to craft gear.",
366,Rathian Spike,Material,rare4,Rathian material. Obtained by carving its severed tail. Grants poisonous properties.,
367,Rathian Plate,Material,rare5,"Rathian material. A valuable find, used to fortify gear. Said to be quite hard to come by.",
368,Rathian Scale+,Material,rare6,Rare Rathian material. Mostly obtained by carving. Broadly used for many purposes.,
369,Rathian Carapace,Material,rare6,"Rare Rathian material. Mostly obtained as a reward. Solid, used to craft gear.",
370,Rathian Spike+,Material,rare6,Rare Rathian material. Obtained by carving its severed tail. Grants poisonous properties.,
371,Rathian Ruby,Material,rare7,A rare gem said to have formed within Rathian tissue. Used to dramatically improve gear.,
372,Pink Rathian Scale+,Material,rare6,Rare Pink Rathian material. Mostly obtained by carving. Broadly used for many purposes.,
373,Pink Rathian Carapace,Material,rare6,"Rare Pink Rathian material. Mostly obtained as a reward. Solid, used to craft gear.",
374,Tzitzi-Ya-Ku Scale,Material,rare4,Tzitzi-Ya-Ku material. Mostly obtained by carving. Broadly used for many purposes.,
375,Tzitzi-Ya-Ku Hide,Material,rare4,"Tzitzi-Ya-Ku material. Mostly obtained as a reward. Supple, used to craft gear.",
376,Tzitzi-Ya-Ku Claw,Material,rare4,"Tzitzi-Ya-Ku material. Mostly obtained by carving. Sharp, used in many weapons.",
377,Tzitzi-Ya-Ku Photophore,Material,rare4,"Tzitzi-Ya-Ku material obtained by breaking its pulse organs. Unusual, used for many purposes.",
378,Tzitzi-Ya-Ku Scale+,Material,rare6,Rare Tzitzi-Ya-Ku material. Mostly obtained by carving. Broadly used for many purposes.,
379,Tzitzi-Ya-Ku Hide+,Material,rare6,"Rare Tzitzi-Ya-Ku material. Mostly obtained as a reward. Supple, used to craft gear.",
380,Tzitzi-Ya-Ku Claw+,Material,rare6,"Rare Tzitzi-Ya-Ku material. Mostly obtained by carving. Sharp, used in many weapons.",
381,Tzitzi-Ya-Ku Photophore+,Material,rare6,"Rare Tzitzi-Ya-Ku material obtained by breaking its pulse organs. Unusual, used for many purposes.",
382,Paolumu Pelt,Material,rare4,Paolumu material. Mostly obtained as a reward. Broadly used for many purposes.,
383,Paolumu Scale,Material,rare4,"Paolumu material. Mostly obtained by carving. Solid, used to craft gear.",
384,Paolumu Shell,Material,rare4,Paolumu material. Obtained by breaking its tail. Used for many purposes.,
385,Paolumu Webbing,Material,rare4,"Paolumu material. Obtained by breaking its wings. Lightweight, used to craft gear.",
386,Paolumu Pelt+,Material,rare6,Rare Paolumu material. Mostly obtained as a reward. Broadly used for many purposes.,
387,Paolumu Scale+,Material,rare6,"Rare Paolumu material. Mostly obtained by carving. Solid, used to craft gear.",
388,Paolumu Carapace+,Material,rare6,Rare Paolumu material. Obtained by breaking its tail. Used for many purposes.,
389,Paolumu Wing,Material,rare6,"Rare Paolumu material. Obtained by breaking its wings. Lightweight, used to craft gear.",
390,Great Girros Scale,Material,rare4,Great Girros material. Mostly obtained by carving. Broadly used for many purposes.,
391,Great Girros Hide,Material,rare4,"Great Girros material. Mostly obtained as a reward. Supple, used to craft gear.",
392,Great Girros Hood,Material,rare4,Great Girros material. Obtained by breaking its head. Unusual and difficult to handle.,
393,Great Girros Fang,Material,rare4,Great Girros material. Obtained by breaking its head. Grants paralytic properties.,
